,sigma2,predicted_mean,lower_conf_mean
1532,3.281295262488521e-06,0.004615988842098894,-0.00229641459170666
1534,3.666088831369313e-06,0.0036710559173940985,-0.013137178584059257
1535,5.967686093866935e-06,0.00512371055738582,-0.0026622102832429433
1536,4.554864555267241e-06,0.0040924283815622865,-0.00409711664543456
1537,8.918773598286324e-06,0.004514789538084364,-0.005154012980224015
1540,6.067223016647e-06,0.004412168934129285,-0.004957866927428823
1541,4.040182968404536e-06,0.00287073080799709,-0.01288292670983968
1542,4.785539101682168e-06,0.003544235502533203,-0.003918621302159437
1545,4.663142309314793e-06,0.004682580961138952,-0.0030239084149082944
1550,5.013092517902383e-06,0.005604664892329529,-0.004917402347818487
1560,7.6066744874104805e-06,0.0034864053079954344,-0.00501682728971461
1562,3.068576271681091e-06,0.005164895839437366,-0.0003910839749844706
1564,4.667529489973041e-06,0.005770947946197948,-0.015686274050752298
1566,2.942276084452394e-06,0.003506275326632374,-0.003266058000439215
1568,3.687524902912741e-06,0.003727879059781195,-0.002842321319885361
1569,3.7152337143749316e-06,0.004061241439214791,-0.00332097956195731
1571,3.526117164394577e-06,0.004213835282271331,-0.0033153941241424725
1581,3.461766397862496e-06,0.003389009729811629,-0.0037885042424522994
1583,3.5680927573841083e-06,0.005520287811598139,-0.0029322779472021375
1585,1.0122018683137332e-05,0.0059823017589392775,-0.005293813494889264
1588,4.748504335571239e-06,0.005804695429744515,-0.012074703905820312
1590,3.38519070510791e-06,0.004071724323959318,-0.0023423264135613094
1602,5.56679189760394e-06,0.0013632857829155623,-0.03755672496337794
1603,6.851460217408508e-06,0.006089740376945427,-0.015062093622535817
1604,4.818362429788393e-06,0.0009878060946589492,-0.02236694148910181
1605,3.669188405229349e-06,0.006267815130723711,-0.007009011211794064
1606,4.432404265463731e-06,0.00318680853701054,-0.013443529525702585
1607,7.121916806032669e-06,0.001036510768312686,-0.03178881246855034
1609,3.6747123022826495e-06,0.005121471491501007,-0.00526382247857657
1610,9.634863088482405e-06,0.006720361061748459,-0.004441529105562103
1611,5.056635821552825e-06,-0.0012634859449554177,-0.026267220353514507
1612,3.636110946212058e-06,0.004957217232703174,-0.0049548695127488935
1701,4.305575144501498e-06,0.004897805246251206,-0.002813676139655485
1746,2.95344399689555e-06,0.0036675851249989787,-0.0028943450923189173
1747,3.7272770605695577e-06,0.005153060815255428,-0.0027635141322387142
1749,3.5263941989980836e-06,0.005321531890489717,-0.0017693906382685995
1752,3.40712173588869e-06,0.004798833724711377,-0.0025117948660867877
1754,3.2804831910208335e-06,0.004268963947605342,-0.003870664261833594
1756,4.8092813195793125e-06,0.004418887362218323,-0.0032708841599668977
1757,3.738551487330377e-06,0.005030033169801067,-0.002647481382166003
1801,3.316206708831653e-06,0.0053661796187540415,-0.0018391171517535272
1821,2.989161290287208e-06,0.0029324053953607905,-0.012076998698064634
1824,2.0637069032653987e-06,0.0038611855547130095,-0.002193696126666642
1826,4.012169997537714e-06,-0.0014889113134735352,-0.04060773808020798
1827,4.916902022651846e-06,0.0040392235980117805,-0.004984164739096021
1830,4.405515565152896e-06,0.005401507683693696,-0.004747287161871788
1832,3.3842272887056488e-06,0.004956530997353288,-0.001704974125506416
1833,4.7529894352462324e-06,0.00466429444470325,-0.0034655619689591063
1835,4.298253360892848e-06,0.005458926003715132,-0.002074861524105877
1841,7.178773085808778e-06,0.008599696050705732,-0.003954957247230934
1843,7.4766224474089885e-06,0.007644105006181009,-0.005761571926655254
1844,3.238315459145717e-06,0.005958952545101826,-0.0008041562462902198
1850,7.126093188737682e-06,0.008155396383185886,-0.002199464834639065
1851,3.2879852218866578e-06,0.0058873754999868855,-0.001355421550109474
1852,2.7346778245201357e-06,0.004058292994508473,-0.00642699652241599
1854,4.261827885876506e-06,0.005371014391007564,-0.0018772454075792983
1860,4.019663239779922e-06,0.004570741202468634,-0.004694325918510358
1862,4.504368974540211e-06,0.0017662164378330625,-0.020532000075326136
1863,2.925591182342004e-06,0.004027050023843929,-0.0037972033270685665
1876,2.5233955110103183e-06,0.004578240375974538,-0.0010128002552704531
1879,3.8143240144712994e-06,0.0035790194737771444,-0.004429354765196173
1887,2.436026167215871e-06,0.004898186725330937,-0.0013141174116673455
1902,5.509381759381373e-06,0.009857361048196393,9.427553885600368e-05
1904,3.118495400672087e-06,0.0077223543385593245,0.0006805144369050237
1905,5.917119342539748e-06,0.008285263920107396,-0.0006433943602867656
1906,3.638449456327152e-06,0.006066503182088647,-0.003099833026258328
1913,3.521504464506882e-06,0.00475951376491419,-0.003963167702853507
1915,3.441732681652566e-06,0.004828487172167378,-0.002103229055108952
1922,3.4879600677799987e-06,0.0036980245904679842,-0.0028489066225381434
1923,3.1722170636728678e-06,0.005159939420506434,-0.002135803631216765
1930,3.5776360654871614e-06,0.004480784249501952,-0.004530275120393027
1952,5.753649751837087e-06,0.005839826919738947,-0.004452470141894837
1960,3.2272076559660213e-06,0.005516565083712074,-0.0010709924553327613
1969,4.017583509282739e-06,0.0039643454351558395,-0.0038243644771939005
1970,3.2522919899788116e-06,0.006037509165477691,-0.001329165454749277
2019,2.0476436001691214e-06,0.004249214156114579,-0.003636504668981826
2026,3.0296441644875207e-06,0.005940248962212091,-0.0017870325005352335
2035,3.006940595106522e-06,0.0038654674548169237,-0.0030432905495744677
2038,2.1621636377355083e-06,0.002986941379588201,-0.0022507156090876236
2045,9.574804051555014e-06,0.004210653710966891,-0.00940689313562426
2048,2.7331137882577803e-06,0.004242392228672066,-0.00267856973993734
2050,3.46040596579334e-06,0.0040938300032461565,-0.003128825124551994
2053,2.928020032926333e-06,0.0038291425096812493,-0.0024747874777216175
2054,4.04051032665842e-06,0.0038756873320755347,-0.006204349485040865
2062,2.4430273103983883e-06,0.004212307430893068,-0.00532511521778022
2072,2.6527508676378387e-06,0.005288511075340451,-0.0019936316156531973
2093,1.7854641178213654e-06,0.003354060378281491,-0.0025691851023027595
2121,1.2481120376449761e-05,0.010894582427832426,-0.0074974760845942946
2126,7.971748755800975e-06,0.011623987470134408,-0.004362756832783592
2128,7.82703787916831e-06,0.009469469170282992,-0.001976936777156183
2136,4.035960944926598e-06,0.006999659410246172,-0.0006910900613026367
2148,2.765627072497113e-06,0.00761190896705865,0.0007385992476849564
2149,4.21169481773964e-06,0.009962866677962362,-0.0058758106283911815
2150,1.0316112420454735e-05,0.008971143639721874,-0.004794028409393289
2151,4.138178594327921e-06,0.008192153855222341,0.0006376607790476064
2169,2.19511467181657e-06,0.00603572917676439,-0.00011459791951790371
2171,2.3989516076299152e-06,0.0059508836618269115,-0.0004393868757864226
2188,1.9137913627529488e-06,0.0055754971171338595,-0.001000678419545534
2189,2.3013673556106535e-06,0.005655901311513123,-0.00018944615157376015
2190,2.7721841087254357e-06,0.005469337911881823,-0.0005401777270064172
2191,2.8609443792794046e-06,0.005733081456147157,-0.0013736875868619102
2301,3.6699385138678285e-06,0.008685648822213251,0.0008280095105132136
2302,3.888830593735123e-06,0.007795385426564241,-0.0005225411795784315
2322,6.306725219820075e-06,0.00675951550996251,-0.005701789036624652
2324,3.3034686693978408e-06,0.004841080381035653,-0.001963793229063022
2338,3.756850923364384e-06,0.00517763228179271,-0.002784546828470601
2343,2.3493932046577196e-06,0.004439996250088548,-0.009442833308130612
2346,3.001057691646611e-06,0.005246571824721367,-0.0016858413205335964
2347,5.702156987341843e-06,0.0049301578475433976,-0.003981638258051411
2351,4.245199487393893e-06,0.005299534300774788,-0.0030556554514165235
2356,2.7605031176109812e-06,0.004442436120234017,-0.0016275546387506
2359,4.445061365813442e-06,0.004050638126590195,-0.002954980541610604
2360,3.0618038392232196e-06,0.004998926762058576,-0.00265575903043108
2364,3.087327118364065e-06,0.0045607964611241985,-0.001513538042963935
2367,5.4647725771684746e-06,0.004433271739540872,-0.0031374452884813516
2368,2.7200025794600515e-06,0.006850615275752344,0.0010152682765656679
2370,3.251559308753307e-06,0.00622577287795871,-0.005803651649012628
2375,4.43145158401047e-06,0.00460336564942669,-0.0023153014924685435
2379,4.105263883815999e-06,0.005704664610366158,-0.004442386231208312
2382,4.3049158082735466e-06,0.005200584461309608,-0.002761834977114615
2532,7.117624596827048e-06,0.0023533931870009144,-0.03592974499767889
2536,4.375418466958511e-06,0.0065428117821987606,-0.004347793458300908
2537,4.333935680775222e-06,0.003267666182694952,-0.005625479093714814
2538,7.213885512326197e-06,0.0072190857090585515,-0.002832671492408754
2563,3.1481190102200013e-06,0.004935627694257278,-0.0017567928508823024
2571,6.007465772944921e-06,0.005478169565136617,-0.003318682139289166
2576,4.887964172174941e-06,0.006324471193425741,-0.0015829529752826586
2601,5.085875003077922e-06,0.011904514749537664,-0.0013195345566744904
2631,3.46030102210245e-06,0.0030286234254372135,-0.005423289169311671
2632,4.641110675062656e-06,0.004273758269954288,-0.003742015989395854
2635,4.712380202125192e-06,0.003250179610537076,-0.004043973946447774
2639,6.37450397581895e-06,0.002823276157054327,-0.015209856199698214
2642,4.579035042243412e-06,0.0024533751084853555,-0.008835413842598281
2644,3.3504916294384242e-06,0.004766264855486085,-0.0020637174856628126
2645,4.282482760538376e-06,0.004030088568883094,-0.003779528504418367
2648,3.3727829189604297e-06,0.004184774523473026,-0.002287575158025247
2649,3.7574374245648613e-06,0.00485604552494129,-0.003936591844312527
2660,5.016717746973414e-06,0.0037246275483220088,-0.003796078281101972
2664,5.530054781414109e-06,0.005930122995690531,-0.0034079983354586606
2668,4.964906626374123e-06,0.0031191957277080383,-0.00409371482763897
2670,6.276519165759743e-06,0.003574425619205487,-0.005166941970342715
2673,3.901529702644778e-06,0.007123566514941406,-0.0026599972970597885
2675,2.294924979016277e-06,0.00325104107308706,-0.0031195374835192215
2703,3.4539843198399393e-06,0.004890340756129541,-0.0016596673509688285
2715,3.360323040990885e-06,0.005103093563894924,-0.00869958714720535
2718,4.1331594376900504e-06,-0.0005563519565931486,-0.016640262609671493
2719,6.750944585365127e-06,0.003916671294927636,-0.006487101706561318
2720,2.59010865872186e-06,0.0036248573384285317,-0.011001187046363143
2721,6.084310358335275e-06,0.004644340105954812,-0.005200168188322562
2723,4.899532026698634e-06,0.006484385123098569,-0.004936682287042734
2724,7.970215536334474e-06,0.005820440149279649,-0.0036071426790867367
2725,5.411072907020809e-06,0.0036033488561222904,-0.005355270521477991
2726,5.103512147209217e-06,0.00504754894781505,-0.013514927004327782
2738,5.984185779649085e-06,0.0066977837974836595,-0.0033974345848331857
