,sigma2,predicted_mean,lower_conf_mean
1453,2.5323042893132663e-06,0.0018138309934370748,-0.01235378938446235
1460,2.1998027972073143e-06,0.0014437552499072367,-0.010456465590684095
1462,3.168849988349541e-06,0.0031592329036059636,-0.013988102113297263
1463,3.1028516364225575e-06,0.002137898186093885,-0.01217042450524707
1464,3.401312362503934e-06,0.002937321444747301,-0.015855120288878664
1468,3.7411910154473236e-06,0.0028322835944072492,-0.010306999414414578
1469,2.829263521828302e-06,0.001217253196268967,-0.01182019751163362
1473,3.863996616445823e-06,0.0010176853242906156,-0.01154120381982333
1474,4.06503664854935e-06,0.002917840181851884,-0.014018924671945652
1475,4.681300056438994e-06,0.0034410018305487395,-0.011511938693969126
1501,3.6428620078440656e-06,0.0033783538118771087,-0.011549127254329512
1503,3.394816198616219e-06,0.001935446594650495,-0.012457027014992267
1504,5.423070615305486e-06,-0.0007259611722164706,-0.021241143791761206
1505,4.078341444604687e-06,0.001792625939275246,-0.013295310765756333
1506,8.102690054403217e-06,0.0034393325862457145,-0.01734345836514
1507,3.8317473544346005e-06,0.0034972978456709503,-0.011260211452077147
1510,4.212568122592687e-06,0.005394068583235723,-0.011163165762511891
1515,6.7233199811945135e-06,0.008243896280023814,-0.014073007650999052
1516,3.0607398362380195e-06,0.004153433436872325,-0.006767497550081729
1518,4.1291827760487065e-06,0.0009185106084592459,-0.013758522238141441
1519,3.136319695974107e-06,0.0018836257453617642,-0.011883290447846022
1520,3.256173612295489e-06,0.0018185601209633286,-0.014826710413986739
1521,6.127640938294814e-06,0.0017553285670821005,-0.016165366268491438
1522,3.3576350277020073e-06,0.00748229001302638,-0.005792179835783746
1523,3.582240165141443e-06,0.0033239067597013753,-0.010740157317065745
1524,4.172139964813421e-06,-0.00012997145626489985,-0.016796515299205
1527,3.0352330462450005e-06,0.0029545429042322218,-0.015285176467687438
1529,6.1052898589345595e-06,-0.0006170732537111627,-0.019465892397755386
1532,2.7607695057769674e-06,0.002345944999852337,-0.01652060540489549
1534,2.2938610903958654e-06,0.0036104810337688168,-0.013285818893263081
1535,4.86162360532139e-06,0.005728480295074849,-0.015771274596338564
1536,2.6144696294867326e-06,-9.431734761642399e-05,-0.021290944145791833
1537,4.390151789130138e-06,0.0006442721622026817,-0.016205681799384187
1540,3.246110286454847e-06,-0.0006410598446076529,-0.012011208427578217
1541,3.593450784817642e-06,0.0016469196904133857,-0.014852922327582677
1542,4.845139263593309e-06,-0.001195573317357082,-0.019386684916644865
1545,2.736779937134274e-06,0.0034543590488420785,-0.009434133360311328
1550,4.695518563406964e-06,0.002615751668634655,-0.017314456911708163
1560,3.5187293944653328e-06,0.0012965517084884306,-0.012090087009243744
1562,4.132251160251173e-06,0.004521462909239508,-0.008563306146872698
1564,2.9733179735321377e-06,0.001746832733901859,-0.012662401962705072
1566,2.6213033826215443e-06,0.0024878124051818913,-0.008660695269136697
1568,2.325578896463871e-06,0.0037983768911312187,-0.007115395206278374
1569,2.4856028049319247e-06,0.0013329301893498884,-0.014360115984035682
1571,3.3470010182760874e-06,0.0027937269591807516,-0.00998092316663157
1581,2.3986910655183665e-06,0.0018577871169629845,-0.008345995520117059
1583,3.0409946846573454e-06,0.0052158219077982374,-0.010541063554544032
1585,6.307058120913682e-06,0.004865626415125899,-0.011196187934412122
1588,3.2203634179681136e-06,0.005782529399217547,-0.01149781700856717
1590,3.1071106808950005e-06,0.0014513905109197792,-0.012237084586731624
1602,3.8015861887226996e-06,0.0007067560556105431,-0.020268425117762365
1603,4.1605957997471095e-06,0.0050371476295810605,-0.013401739138474898
1604,3.8015536949480074e-06,-0.00018766047797285268,-0.016162094941409615
1605,3.7529287332233313e-06,0.005104710930926293,-0.014141108047127697
1606,3.7391148746695705e-06,0.003282644178785195,-0.01435630854846003
1607,5.559243119466694e-06,0.0019681539243782717,-0.016807922762489918
1609,3.162045782626755e-06,0.003147876677054122,-0.013603297422292472
1610,6.455875558158805e-06,0.002132658474083712,-0.022744865096521294
1611,5.54388996999788e-06,0.0029896315944893522,-0.013340587271575196
1612,2.9359794182583133e-06,0.0017340602991674358,-0.01346217128978228
1701,2.7638767543470003e-06,-0.0020373925815921835,-0.019301867255121244
1746,2.049074116184518e-06,0.002967201727335725,-0.008944961542329525
1747,2.62181136836175e-06,0.0024683939453750154,-0.012968047592773512
1749,2.2937365399983302e-06,0.0005940203816093651,-0.018185103877579895
1752,2.1165703019162566e-06,0.001487990160701367,-0.01791064285098446
1754,2.3286319006476297e-06,0.004219072554532879,-0.007670042274804172
1756,3.165794251694278e-06,0.002894864925976069,-0.009141099901377958
1757,2.9623539686004236e-06,0.0038271381487298864,-0.012286707963819673
1801,2.1945499340723366e-06,0.004665878904632288,-0.006727084674355062
1821,1.888033538034106e-06,0.0028604745689305034,-0.009832407802413509
1824,1.6662920625402396e-06,0.0021231343969103306,-0.011700799996354051
1826,2.3907498685591797e-06,0.0026506877376722845,-0.01012962631510032
1827,2.8612882995810494e-06,0.0013581706249363658,-0.010791359252283906
1830,2.8625015147739928e-06,0.0018900175520631113,-0.017016978746137952
1832,2.591712923430446e-06,0.0015769419476477997,-0.01063300710424602
1833,2.0994012562355002e-06,0.0019921983426187994,-0.011889756539069202
1835,2.7551837455318458e-06,0.003555949653590246,-0.010668614639157088
1841,4.860209228667043e-06,0.00593033218557264,-0.014303818232564443
1843,5.039550323566746e-06,0.0035879061563492422,-0.018599045958649738
