Region Name,Region Name (group),National Average,P2R,Zhvi
"Frankfort, KY",Other,11.44,10.55,"$126,200"
"Frankfort, IN",Other,11.44,8.37,"$94,800"
"Fort Wayne, IN",Other,11.44,9.07,"$114,000"
"Fort Smith, AR",Other,11.44,10.18,"$100,200"
"Fort Polk South, LA",Other,11.44,10.8,"$140,400"
"Fort Myers, FL",Other,11.44,10.8,"$222,900"
"Fort Leonard Wood, MO",Other,11.44,11.77,"$135,500"
"Fort Collins, CO",Other,11.44,16.31,"$336,800"
"Fond du Lac, WI",Other,11.44,11.8,"$134,200"
"Florence, SC",Other,11.44,8.59,"$102,200"
"Flint, MI",Other,11.44,8.94,"$93,400"
"Flagstaff, AZ",Other,11.44,14.75,"$324,700"
"Findlay, OH",Other,11.44,9.45,"$128,600"
"Fernley, NV",Other,11.44,13.98,"$205,400"
"Fayetteville, NC",Other,11.44,11.87,"$126,600"
"Fayetteville, AR",Other,11.44,11.55,"$159,400"
"Faribault, MN",Other,11.44,12.41,"$204,900"
"Fargo, ND",Other,11.44,12.71,"$205,300"
"Fairbanks, AK",Other,11.44,10.41,"$216,400"
"Evansville, IN",Other,11.44,9.58,"$120,000"
"Eureka, CA",Other,11.44,15.08,"$284,400"
"Eugene, OR",Other,11.44,15.07,"$243,800"
"Erie, PA",Other,11.44,9.9,"$120,800"
"Elmira, NY",Other,11.44,6.87,"$87,300"
"Elko, NV",Other,11.44,14.07,"$224,000"
"Elkhart, IN",Other,11.44,10.01,"$128,400"
"Elizabethtown, KY",Other,11.44,10.58,"$128,800"
"El Paso, TX",Other,11.44,9.42,"$112,400"
"El Centro, CA",Other,11.44,14.53,"$190,600"
"El Campo, TX",Other,11.44,8.06,"$123,600"
"Effingham, IL",Other,11.44,8.53,"$125,600"
"Edwards, CO",Other,11.44,14.15,"$661,000"
"Eau Claire, WI",Other,11.44,11.46,"$158,300"
"Easton, MD",Other,11.44,13.65,"$277,400"
"East Stroudsburg, PA",Other,11.44,8.8,"$134,700"
"Eagle Pass, TX",Other,11.44,8.34,"$109,200"
"Dyersburg, TN",Other,11.44,8.16,"$79,000"
"Durham, NC",Other,11.44,12.39,"$208,000"
"Durant, OK",Other,11.44,10.06,"$111,100"
"Durango, CO",Other,11.44,15.54,"$340,100"
"Dunn, NC",Other,11.44,11.8,"$157,200"
"Duluth, MN",Other,11.44,10.31,"$136,300"
"Dublin, GA",Other,11.44,8.05,"$89,600"
"Dover, DE",Other,11.44,11.61,"$175,800"
"Douglas, GA",Other,11.44,8.27,"$92,100"
"Dickinson, ND",Other,11.44,12.36,"$201,000"
"Detroit, MI",Other,11.44,9.63,"$137,500"
"Des Moines, IA",Other,11.44,10.83,"$169,300"
"Denver, CO",Other,11.44,14.65,"$359,100"
"Defiance, OH",Other,11.44,9.56,"$110,000"
"Decatur, IN",Other,11.44,8.94,"$101,900"
"De Ridder, LA",Other,11.44,10.39,"$135,500"
"Daytona Beach, FL",Other,11.44,11,"$174,100"
"Dayton, TN",Other,11.44,9.59,"$122,000"
"Dayton, OH",Other,11.44,9.34,"$112,300"
"Davenport, IL",Other,11.44,9.07,"$115,700"
"Daphne, AL",Other,11.44,11.6,"$202,500"
"Danville, VA",Other,11.44,8.38,"$85,900"
"Dalton, GA",Other,11.44,9.51,"$116,400"
"Dallas-Fort Worth, TX",Other,11.44,10.69,"$203,400"
"Cumberland, MD",Other,11.44,6.26,"$84,100"
"Crossville, TN",Other,11.44,8.72,"$90,500"
"Crestview-Fort Walton Beach-Destin, FL",Other,11.44,13.04,"$225,000"
"Crawfordsville, IN",Other,11.44,8.69,"$106,500"
"Craig, CO",Other,11.44,11.03,"$159,400"
"Corvallis, OR",Other,11.44,14.83,"$315,100"
"Cortland, NY",Other,11.44,6.78,"$104,600"
"Corning, NY",Other,11.44,6.1,"$90,800"
"Cornelia, GA",Other,11.44,10.1,"$131,500"
"Corinth, MS",Other,11.44,8.5,"$101,900"
"Coos Bay, OR",Other,11.44,12.9,"$181,400"
"Cookeville, TN",Other,11.44,10.45,"$118,700"
"Connersville, IN",Other,11.44,7.08,"$62,600"
"Concord, NH",Other,11.44,12.21,"$223,700"
"Columbus, OH",Other,11.44,10.29,"$161,000"
"Columbus, MS",Other,11.44,8.78,"$118,400"
"Columbus, IN",Other,11.44,9.3,"$135,100"
"Columbus, GA",Other,11.44,9.81,"$104,200"
"Columbia, SC",Other,11.44,9.39,"$124,900"
"Columbia, MO",Other,11.44,11.08,"$153,300"
"Colorado Springs, CO",Other,11.44,14.32,"$248,700"
"College Station, TX",Other,11.44,9.51,"$175,600"
"Coldwater, MI",Other,11.44,9.65,"$110,500"
"Clewiston, FL",Other,11.44,7.91,"$114,400"
"Cleveland, TN",Other,11.44,10.74,"$128,200"
"Cleveland, OH",Other,11.44,9.2,"$132,100"
"Cleveland, MS",Other,11.44,8.99,"$120,800"
"Clarksville, TN",Other,11.44,11.42,"$138,300"
"Clarksdale, MS",Other,11.44,6.96,"$71,300"
"Claremont, NH",Other,11.44,10.28,"$180,100"
"Cincinnati, OH",Other,11.44,9.91,"$150,500"
"Chico, CA",Other,11.44,15.84,"$262,600"
"Chicago, IL",Other,11.44,10.44,"$207,500"
"Cheyenne, WY",Other,11.44,12.51,"$201,400"
"Chattanooga, TN",Other,11.44,9.84,"$135,300"
"Charlottesville, VA",Other,11.44,14.08,"$240,900"
"Charlotte, NC",Other,11.44,11.3,"$169,500"
"Charleston, WV",Other,11.44,8.71,"$89,700"
"Charleston, IL",Other,11.44,6.72,"$83,900"
"Champaign-Urbana, IL",Other,11.44,9.54,"$129,800"
"Chambersburg, PA",Other,11.44,12.13,"$165,700"
"Centralia, WA",Other,11.44,13.92,"$181,300"
